C[PPB],C_STDEV[PPB],VALVE_ID,DATE_TIME,TIME_NORM_GLOBAL[h],TREATMENT
563.2934535506666,0.7579823062292681,20.0,2026-01-06 20:47:00.575,11.500159722222222,STD
373.531338657,0.3167849062473886,21.0,2026-01-06 21:02:00.171,11.7500475,PH2SO4
36.5715167933,0.23406332877066782,27.0,2026-01-06 21:32:00.273,12.250075833333334,BACKGROUND
169.2831823396667,0.5568386336352946,22.0,2026-01-06 21:46:59.755,12.499931944444445,FAA
851.1834146610001,1.1002186732922332,23.0,2026-01-06 22:02:00.055,12.750015277777777,FU
594.661214332,0.6231991022588412,24.0,2026-01-06 22:17:01.635,13.000454166666668,PU
363.2814940813333,0.5195629803040613,25.0,2026-01-06 22:32:01.065,13.250295833333334,PH2SO4
107.67439912433333,0.7145717985319754,26.0,2026-01-06 22:47:00.299,13.500083055555555,PAA
32.330904834866665,0.227795332839182,28.0,2026-01-06 23:16:58.877,13.999688055555556,BACKGROUND
25.388507672333336,1.2673836062400354,1.0,2026-01-06 23:32:01.121,14.250311388888889,PU
271.4932721193333,1.7759239035563366,2.0,2026-01-06 23:46:59.901,14.4999725,FH2SO4
223.0841168103333,0.8124881013408853,3.0,2026-01-07 00:01:59.029,14.749730277777779,STD
150.81774293733332,0.4230548610237625,4.0,2026-01-07 00:17:00.615,15.000170833333332,PH2SO4
208.89086958,0.5057594754309449,5.0,2026-01-07 00:31:59.523,15.2498675,PAA
41.02237953703334,0.2898146342075107,11.0,2026-01-07 01:01:58.586,15.749607222222224,BACKGROUND
305.7555436503333,1.247383380519265,6.0,2026-01-07 01:16:58.312,15.99953111111111,FAA
254.5107770256667,0.49814360397160284,7.0,2026-01-07 01:31:57.385,16.24927361111111,FU
326.97015897,0.643313934520286,8.0,2026-01-07 01:46:59.236,16.499787777777776,FH2SO4
127.621444242,0.34210211618919734,9.0,2026-01-07 02:01:57.951,16.749430833333335,PU
405.7003925263333,1.6828625210303587,10.0,2026-01-07 02:16:57.496,16.999304444444444,FAA
44.19592351143333,0.34114294535226625,12.0,2026-01-07 02:46:57.209,17.499224722222223,BACKGROUND
467.0268676243334,0.488193176017034,17.0,2026-01-07 03:01:57.355,17.749265277777777,FH2SO4
323.52512340133336,0.4031741990139529,18.0,2026-01-07 03:16:58.072,17.999464444444445,FU
165.47606541166667,0.22494541739687787,19.0,2026-01-07 03:31:57.796,18.249387777777777,PAA
280.196676337,0.25436602411668985,20.0,2026-01-07 03:46:56.006,18.498890555555555,STD
