"scenario", "treatment", "ctime", "air.temp", "TAN.app", "man.dm", "man.ph", "app.mthd", "rain.cum", "app.rate.ni", "j"                , "er"                 , "shift"
         1, "AA"       ,      50,     11    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0793600730437944 , 0.285141324029395    ,    0
         1, "AA"       ,      51,     10.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0763570424338447 , 0.286372889229941    ,    0
         1, "AA"       ,      52,      9.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0726640034992165 , 0.28754488928638     ,    0
         1, "AA"       ,      53,      7    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0691638236195189 , 0.28866043482863     ,    0
         1, "AA"       ,      54,      4.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0660555901887747 , 0.289725847573611    ,    0
         1, "AA"       ,      55,      3.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0639945227873646 , 0.290758017295987    ,    0
         1, "AA"       ,      56,      4.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0629591858088965 , 0.291773488034841    ,    0
         1, "AA"       ,      57,      3.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0611665274971394 , 0.292760044929956    ,    0
         1, "AA"       ,      58,      3.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0599122812166435 , 0.293726372046353    ,    0
         1, "AA"       ,      59,      3.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0586577616798358 , 0.294672464976673    ,    0
         1, "AA"       ,      60,      2.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0571635196288653 , 0.295594457228752    ,    0
         1, "AA"       ,      61,      2.3  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0558655785712254 , 0.296495514947642    ,    0
         1, "AA"       ,      62,      3.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0549158517604873 , 0.297381254492166    ,    0
         1, "AA"       ,      63,      4.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0540417994947191 , 0.2982528964195      ,    0
         1, "AA"       ,      64,      4.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0528456188821913 , 0.299105245111149    ,    0
         1, "AA"       ,      65,      4.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0516573472835837 , 0.299938428131852    ,    0
         1, "AA"       ,      66,      3.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0504279426197805 , 0.300751782045074    ,    0
         1, "AA"       ,      67,      3.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0494902271699189 , 0.301550011515557    ,    0
         1, "AA"       ,      68,      3.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0484361432002594 , 0.30233123963169     ,    0
         1, "AA"       ,      69,      4.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.047583234129192  , 0.303098711149902    ,    0
         1, "AA"       ,      70,      6    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0467676818524581 , 0.303853028599136    ,    0
         1, "AA"       ,      71,      7.3  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.045963234054085  , 0.304594371083879    ,    0
         1, "AA"       ,      72,      9.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0452931542168749 , 0.305324905829312    ,    0
         1, "AA"       ,      73,     10.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0444904938424457 , 0.306042494439675    ,    0
