TREATMENT,time_since_slurry_aplication[h],flux [mg/m2 h],flux_std_dev[mg/m2 h],accumulated_emission [mg/m2],accumulated_emission_std_dev[mg/m2],relative_flux,relative_flux_std_dev,%_relative_accumulated_emissions,%_relative_accumulated_emisssions_std_dev,DATE_TIME,time_since_start_of_experiment
H2SO4,113.58280611111113,1.6588579464163764,0.4044735627793023,529.0066690207577,127.97437468143139,0.030347553079220962,0.007399538304110756,9.677777414305325,2.3411945168751855,2025-11-02 04:12:08.864999999,114.51550500000002
H2SO4,115.30840111111112,1.6481390936278533,0.6299908533674755,531.8599377994152,128.71684252141702,0.030151459764147914,0.011525206786569752,9.72997581133905,2.354777405170265,2025-11-02 05:55:41.006999999,116.24110000000002
H2SO4,115.31182861111112,1.6489164551705462,0.6303293946049578,531.865588128362,128.71864788467408,0.03016568100637639,0.011531400142785806,9.730079179839047,2.354810432927338,2025-11-02 05:55:53.345999999,116.24452750000002
H2SO4,115.3152,1.6496810906388693,0.6306624039193228,531.8711485559194,128.72042449978045,0.030179669434687157,0.011537492296647085,9.730180903661035,2.3548429347587083,2025-11-02 05:56:05.483000000,116.2478988888889
H2SO4,117.04064305555556,2.05181890595339,0.7863206262537697,535.064512288049,129.71950902145113,0.037536477003281804,0.014385141894803881,9.78860108097122,2.3731204314048364,2025-11-02 07:39:37.078000001,117.97334194444446
H2SO4,117.04421388888888,2.0566500219238644,0.7900192513765953,535.0718476169473,129.7217682449947,0.03762485862068465,0.014452805447597883,9.788735275272535,2.3731617621930177,2025-11-02 07:39:49.933000000,117.97691277777777
H2SO4,117.04745083333331,2.0610878974160647,0.7933717634652006,535.0785120613881,129.72382483644319,0.03770604620057928,0.014514137123873998,9.788857196249461,2.3731993859800813,2025-11-02 07:40:01.585999998,117.98014972222221
H2SO4,118.77292222222225,4.469131367704659,2.5218233490419815,540.7123653139566,131.9477450209529,0.08175938252725219,0.04613485326263184,9.891924285865073,2.413884325874519,2025-11-02 09:23:33.282999999,119.70562111111114
H2SO4,118.77664166666666,4.473078562817385,2.5158942519604275,540.7289953404801,131.95499388711693,0.08183159348024925,0.04602638491018308,9.892228519638506,2.414016938405416,2025-11-02 09:23:46.673000001,119.70934055555556
H2SO4,118.77982444444444,4.476705768764347,2.510725040763786,540.7432379278233,131.9611975454384,0.08189795047316868,0.04593181809600428,9.892489077015538,2.414130429648356,2025-11-02 09:23:58.130999998,119.71252333333334
H2SO4,120.50559750000001,6.411058824067119,3.7326743809600016,550.1381433125936,135.51421288373066,0.11728547846890197,0.06828645825180202,10.064361774406235,2.479130161423488,2025-11-02 11:07:30.914000000,121.4382963888889
H2SO4,120.50924444444445,6.410078366820243,3.729740680995718,550.1615223001185,135.52219371695318,0.11726754174417771,0.0682327884269825,10.06478947532323,2.4792761647388173,2025-11-02 11:07:44.042999998,121.44194333333334
H2SO4,120.51241333333334,6.408692669902845,3.7262675354660226,550.1818329306722,135.5291195776138,0.11724219146578692,0.06816924985302446,10.065161042967183,2.479402868128019,2025-11-02 11:07:55.450999998,121.44511222222224
H2SO4,122.23797694444444,5.558820827496984,1.9989553940063018,560.5071858339692,138.05192146203095,0.10169442807612207,0.03656937898368705,10.25405557487778,2.5255556229561846,2025-11-02 12:51:27.479999998,123.17067583333333
H2SO4,122.24143444444444,5.552892301542646,1.9953686781035358,560.526395208041,138.05441687761555,0.10158597017201432,0.03650376272554124,10.254406995866251,2.525601274699344,2025-11-02 12:51:39.926999998,123.17413333333333
H2SO4,122.24488027777778,5.5468436462173,1.9916079238085873,560.5455191281011,138.0569005610199,0.10147531459180599,0.03643496256647373,10.254756853538128,2.5256467118111274,2025-11-02 12:51:52.332000000,123.17757916666667
H2SO4,123.97016805555556,2.5473287724364773,0.12673895483382144,567.5279075006657,138.78387922852525,0.04660145571761878,0.0023185934439614642,10.382494374531957,2.5389462373957272,2025-11-02 14:35:23.368000001,124.90286694444445
H2SO4,123.97412277777778,2.543335157816475,0.1260117959671351,567.5379735815512,138.78432023333949,0.04652839555479995,0.0023052906217689646,10.382678525878147,2.538954305245683,2025-11-02 14:35:37.605000000,124.90682166666667
H2SO4,123.97761305555557,2.540080485290865,0.12579949710176827,567.5468448478783,138.78470834633643,0.046468853779423815,0.002301406774391134,10.382840818994518,2.538961405479793,2025-11-02 14:35:50.170000001,124.91031194444446
H2SO4,125.70296416666665,0.9574718135495704,0.027421192004204276,570.5640977203651,138.87782743334054,0.01751622358401761,0.0005016499945886402,10.43803918115629,2.540664948837228,2025-11-02 16:19:21.434000001,126.63566305555554
H2SO4,125.70668833333332,0.9567637217769721,0.027667864381537826,570.5676621864515,138.8778161479853,0.01750326957990875,0.0005061626794032016,10.438104390370851,2.540664742380179,2025-11-02 16:19:34.840999998,126.63938722222221
H2SO4,125.7099177777778,0.9561927816043653,0.027823128669857092,570.5707510798276,138.87780742608,0.01749282466072162,0.0005090031222761157,10.438160899341911,2.5406645828195082,2025-11-02 16:19:46.467000000,126.6426166666667
H2SO4,127.43540638888888,0.6614999150136632,0.20078146069209346,571.9664062419736,139.0107799015257,0.012101641268406996,0.0036731451591982254,10.463693356298224,2.5430972138144545,2025-11-02 18:03:18.226000000,128.36810527777777
H2SO4,127.43884666666666,0.6611606621903273,0.20074727647548932,571.9686814018693,139.01131886098787,0.012095434894265254,0.0036725197847771625,10.46373497862993,2.543107073670702,2025-11-02 18:03:30.611000001,128.37154555555554
H2SO4,127.44220666666666,0.6608310677978039,0.20071393747961325,571.9709023479755,139.01184493176112,0.012089405213819543,0.0036719098730308678,10.463775609161312,2.543116697738119,2025-11-02 18:03:42.707000001,128.37490555555556
H2SO4,129.16771166666666,0.4949878467185956,0.1872400748958588,572.9680880060218,139.23666050423537,0.009055428757063328,0.003425415734804047,10.482018367531774,2.547229528817741,2025-11-02 19:47:14.525000001,130.10041055555556
H2SO4,129.1713333333333,0.49502738435102334,0.18725693038992497,572.9698807586028,139.23703747647548,0.009056152068183077,0.0034257240933358627,10.482051164586052,2.54723642524012,2025-11-02 19:47:27.562999998,130.1040322222222
H2SO4,129.17454944444444,0.49507999085099597,0.18726265092990532,572.9714729062681,139.2373723000482,0.009057114464362739,0.003425828746293685,10.482080291724929,2.5472425505844685,2025-11-02 19:47:39.140999998,130.10724833333333
H2SO4,130.90028333333333,0.522494432869136,0.19209139118360935,573.8495042400083,139.43167269440045,0.009558640973055067,0.003514166901752759,10.49814321173774,2.5507971295305762,2025-11-02 21:31:11.782999998,131.83298222222223
H2SO4,130.90371416666665,0.5226399395753337,0.1923125310432354,573.8512970809296,139.43208823669787,0.009561302908333645,0.0035182124884423453,10.49817601040814,2.5508047315630202,2025-11-02 21:31:24.134000001,131.83641305555554
H2SO4,130.90707222222224,0.5227823404683368,0.19252898719427225,573.8530523739773,139.43249542080062,0.009563908025105866,0.003522172390221219,10.498208122168553,2.550812180688607,2025-11-02 21:31:36.222999999,131.83977111111113
H2SO4,132.63270916666667,0.598180471527454,0.3009463787531086,574.8202397948415,139.69836388346778,0.010943259879394351,0.005505586673614368,10.515902085449516,2.5556760433842127,2025-11-02 23:15:08.516000001,133.56540805555557
H2SO4,132.63607166666665,0.5984112092681658,0.3009980921572847,574.8222515646048,139.69899255185595,0.010947481052068456,0.005506532731281049,10.515938889257708,2.555687544397495,2025-11-02 23:15:20.621000001,133.56877055555555
H2SO4,132.63957222222223,0.598657519280036,0.3010495061650017,574.8243467673989,139.6996473671386,0.010951987107680583,0.005507473311715667,10.515977219410173,2.5556995237484648,2025-11-02 23:15:33.222999999,133.57227111111112
H2SO4,134.36509750000002,0.7204152970841115,0.3286032708839669,575.9623935113318,140.06486355318924,0.01317945368051135,0.006011548623979489,10.536796924944785,2.5623808779991446,2025-11-03 00:59:05.114000000,135.2977963888889
H2SO4,134.36861166666665,0.7205342290202098,0.32842972982288776,575.9649253797282,140.0656935526252,0.01318162945044473,0.0060083738213546475,10.536843243564602,2.5623960622118696,2025-11-03 00:59:17.765000001,135.30131055555555
H2SO4,134.37186222222223,0.7206443104783175,0.32826927403043066,575.9672676951824,140.06646127804444,0.013183643307568651,0.006005438403835035,10.536886094456522,2.562410107168498,2025-11-03 00:59:29.466999999,135.30456111111113
H2SO4,136.09730083333335,0.77501901312218,0.2641438529476776,577.2576053190639,140.47806511186317,0.014178387419453731,0.004832312263504402,10.560491846603929,2.569940088395287,2025-11-03 02:43:01.045999998,137.02999972222224
H2SO4,136.1008961111111,0.774924662181923,0.2643194467882449,577.2603915580903,140.4789308394494,0.01417666134027154,0.004835524620179375,10.560542818742276,2.5699559262275335,2025-11-03 02:43:13.988999999,137.033595
H2SO4,136.10426694444445,0.7748212838222769,0.26447857521408824,577.2630035257367,140.479742493721,0.014174770111270663,0.004838435754529443,10.560590602717369,2.5699707748293337,2025-11-03 02:43:26.123999998,137.03696583333334
H2SO4,137.82959027777778,0.7275777071511763,0.3930106229729682,578.5590655432883,140.8799664331708,0.013310484562423189,0.007189832479107393,10.584301078322936,2.5772925694846673,2025-11-03 04:26:57.288000000,138.76228916666668
H2SO4,137.83332166666665,0.7274903964558646,0.3924102562958758,578.5617802557654,140.8807996867617,0.013308887279204285,0.007178849224248578,10.584350741937095,2.5773078132296967,2025-11-03 04:27:10.721000001,138.76602055555554
H2SO4,137.83683861111112,0.7274473626619362,0.3918239052044796,578.5643387233999,140.88158419684174,0.013308100008450776,0.007168122373943134,10.584397547169878,2.577322165249017,2025-11-03 04:27:23.381999999,138.7695375
H2SO4,139.5621086111111,0.7000862080546278,0.13624064594498192,579.795779145175,141.18425804393632,0.012807548352687931,0.002492419705553802,10.60692581949389,2.5828593546510614,2025-11-03 06:10:54.353999999,140.4948075
