DATE_TIME,TIME_NORM_GLOBAL[h],T[degc],P_ATMOS[hpa],F_BC,Q[m3/s],INTERVAL,START_TIME,T_10cm[degc],Project,Experiment,REPLICATE,Plot
2025-10-28 21:03:11.621,10.433571666666667,6.6,985.8,0.259797237630639,0.033848190498164,6,2025-10-28 20:55:12.336,9.6,N-Grass,CattleAcid,2,13RAW
2025-10-28 21:11:11.572,10.56689138888889,6.6,985.8,0.03990732681340445,0.034415112959279966,5,2025-10-28 21:03:11.621,9.6,N-Grass,CattleAcid,2,14AA
2025-10-28 21:19:11.381,10.700171666666668,6.6,985.8,0.23465895268276854,0.034375863625514924,5,2025-10-28 21:11:11.572,9.6,N-Grass,CattleAcid,3,15RAW
2025-10-28 21:35:10.326,10.966545277777778,6.5,986.0,-0.0038870578333811603,0.034139420030223126,6,2025-10-28 21:19:11.381,9.6,N-Grass,CattleAcid,3,17AA
2025-10-28 21:43:10.549,11.099940555555555,6.5,986.0,0.02995183025490412,0.03362142174269256,6,2025-10-28 21:35:10.326,9.6,N-Grass,CattleAcid,3,18H2SO4
2025-10-28 21:51:10.882,11.23336638888889,6.5,986.0,0.017955730007438653,0.03436277055186325,10,2025-10-28 21:43:10.549,9.6,N-Grass,CattleAcid,1,4AA
2025-10-28 22:07:10.220,11.499849166666667,6.5,986.0,0.015931397747400395,0.03436277055186325,9,2025-10-28 21:51:10.882,9.6,N-Grass,CattleAcid,1,8H2SO4
2025-10-28 22:31:08.355,11.89933111111111,6.7,986.4,0.19387866521475064,0.033848190498164,7,2025-10-28 22:07:10.220,9.6,N-Grass,CattleAcid,1,11RAW
2025-10-28 22:39:08.865,12.03280611111111,6.7,986.4,0.04068556255298771,0.034139420030223126,6,2025-10-28 22:31:08.355,9.6,N-Grass,CattleAcid,2,12H2SO4
2025-10-28 22:47:08.970,12.166168611111113,6.7,986.4,0.22732086259676368,0.033848190498164,7,2025-10-28 22:39:08.865,9.6,N-Grass,CattleAcid,2,13RAW
2025-10-28 22:55:08.963,12.299499999999998,6.7,986.4,0.034757573558152,0.034415112959279966,6,2025-10-28 22:47:08.970,9.6,N-Grass,CattleAcid,2,14AA
2025-10-28 23:03:07.200,12.432343611111111,6.7,986.4,0.21820802468670583,0.034375863625514924,6,2025-10-28 22:55:08.963,9.6,N-Grass,CattleAcid,3,15RAW
2025-10-28 23:19:08.262,12.699305277777778,6.7,986.4,-0.001253503891040397,0.034139420030223126,7,2025-10-28 23:03:07.200,9.6,N-Grass,CattleAcid,3,17AA
2025-10-28 23:27:07.395,12.832397777777777,6.7,986.4,0.034832556252148754,0.03362142174269256,7,2025-10-28 23:19:08.262,9.6,N-Grass,CattleAcid,3,18H2SO4
2025-10-28 23:35:06.598,12.965509722222222,6.9,986.8,0.023133335170905024,0.03436277055186325,11,2025-10-28 23:27:07.395,9.5,N-Grass,CattleAcid,1,4AA
2025-10-28 23:51:06.394,13.232119722222222,6.9,986.8,0.020335267601882298,0.03436277055186325,10,2025-10-28 23:35:06.598,9.5,N-Grass,CattleAcid,1,8H2SO4
2025-10-29 00:15:05.624,13.631905833333333,6.9,986.8,0.2018740473399027,0.033848190498164,8,2025-10-28 23:51:06.394,9.5,N-Grass,CattleAcid,1,11RAW
2025-10-29 00:23:04.947,13.765051111111111,6.9,986.8,0.05123819915105881,0.034139420030223126,7,2025-10-29 00:15:05.624,9.5,N-Grass,CattleAcid,2,12H2SO4
2025-10-29 00:31:05.141,13.898438333333331,6.2,986.8,0.2097535053463613,0.033848190498164,8,2025-10-29 00:23:04.947,9.5,N-Grass,CattleAcid,2,13RAW
2025-10-29 00:39:04.187,14.031506666666669,6.2,986.8,0.04293512210496919,0.034415112959279966,7,2025-10-29 00:31:05.141,9.5,N-Grass,CattleAcid,2,14AA
2025-10-29 00:47:05.318,14.165154166666667,6.2,986.8,0.19134858282822462,0.034375863625514924,7,2025-10-29 00:39:04.187,9.5,N-Grass,CattleAcid,3,15RAW
2025-10-29 01:03:04.677,14.431642777777776,6.2,986.8,-0.0001596329276872943,0.034139420030223126,8,2025-10-29 00:47:05.318,9.5,N-Grass,CattleAcid,3,17AA
2025-10-29 01:11:03.105,14.564539444444444,6.2,986.8,0.02936407780689183,0.03362142174269256,8,2025-10-29 01:03:04.677,9.5,N-Grass,CattleAcid,3,18H2SO4
2025-10-29 01:19:03.421,14.697960555555555,6.2,986.8,0.019799800533603553,0.03436277055186325,12,2025-10-29 01:11:03.105,9.5,N-Grass,CattleAcid,1,4AA
2025-10-29 01:35:02.516,14.964375833333332,6.3,987.0,0.015263240252868036,0.03436277055186325,11,2025-10-29 01:19:03.421,9.5,N-Grass,CattleAcid,1,8H2SO4
2025-10-29 01:59:02.743,15.36443888888889,6.3,987.0,0.15337590502833373,0.033848190498164,9,2025-10-29 01:35:02.516,9.5,N-Grass,CattleAcid,1,11RAW
2025-10-29 02:07:03.003,15.497844444444445,6.3,987.0,0.03539218483105627,0.034139420030223126,8,2025-10-29 01:59:02.743,9.5,N-Grass,CattleAcid,2,12H2SO4
